NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMM;RR;RRAB;NBJRR1;NBJRR5;NBJRR10;NBJRR30;NBJRR50;NBJRR100;TX;TXAB;TXMIN;NBJTX0;NBJTX25;NBJTX30;NBJTX35;NBJTXI20;NBJTXI27;NBJTXS32;TN;TNAB;TNMAX;NBJTN5;NBJTN10;NBJTNI10;NBJTNI15;NBJTNI20;NBJTNS20;NBJTNS25;NBJGELEE;TAMPLIM;TAMPLIAB;TM;TMMIN;TMMAX
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200205;110.0;37.5;12;4;4;1;0;0;19.0;28.7;9.7;0;4;0;0;16;29;0;8.6;1.0;14.7;0;0;23;31;31;0;0;0;10.4;19.1;13.8;7.3;20.9
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200206;69.5;35.5;5;3;2;1;0;0;26.6;35.6;17.1;0;17;11;1;4;15;6;14.4;7.8;19.7;0;0;3;19;30;0;0;0;12.2;18.6;20.5;14.8;27.3
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200207;54.5;16.5;11;4;1;0;0;0;25.6;32.8;20.1;0;18;5;0;0;22;1;14.1;8.5;18.1;0;0;1;20;31;0;0;0;11.5;18.3;19.9;17.0;25.0
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200208;65.5;16.0;10;5;3;0;0;0;24.8;32.3;19.7;0;12;4;0;1;25;1;14.0;8.2;19.3;0;0;1;20;31;0;0;0;10.8;18.2;19.4;14.2;24.6
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200209;84.0;19.5;12;5;3;0;0;0;20.5;26.6;10.2;0;5;0;0;11;30;0;10.7;2.6;15.8;0;0;12;29;30;0;0;0;9.7;17.0;15.6;8.9;20.8
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200210;75.5;19.0;12;4;3;0;0;0;17.4;23.0;12.2;0;0;0;0;25;31;0;7.2;0.3;13.4;0;0;27;31;31;0;0;0;10.2;18.2;12.3;9.3;16.7
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200211;183.5;34.0;18;12;8;2;0;0;12.9;17.3;9.4;0;0;0;0;30;30;0;5.8;1.4;10.2;0;0;29;30;30;0;0;0;7.1;14.1;9.4;6.0;13.8
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200212;63.0;18.5;14;3;1;0;0;0;8.5;15.7;3.4;0;0;0;0;31;31;0;3.7;-0.5;7.7;0;0;31;31;31;0;0;1;4.8;10.1;6.1;2.4;10.7
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200301;34.0;5.0;12;2;0;0;0;0;4.8;17.4;-5.3;10;0;0;0;31;31;0;-1.2;-12.2;7.5;5;1;31;31;31;0;0;18;6.0;11.7;1.8;-6.8;12.5
69114001;LIERGUES_SAPC;45.976500;4.650333;290;200302;19.0;15.0;3;1;1;0;0;0;7.0;14.8;-0.5;2;0;0;0;28;28;0;-1.2;-10.0;5.2;3;1;28;28;28;0;0;16;8.2;15.9;2.9;-5.3;10.0
