Périmètre;Nature;Date;Heures;Consommation;;;;
Lille;Données temps réel;22/04/2017;00:45;834;;;;
Lille;Données temps réel;22/04/2017;01:00;844;;;;
Lille;Données temps réel;22/04/2017;01:15;872;;;;
Lille;Données temps réel;22/04/2017;01:30;839;;;;
Lille;Données temps réel;22/04/2017;01:45;817;;;;
Lille;Données temps réel;22/04/2017;02:00;799;;;;
Lille;Données temps réel;22/04/2017;02:15;799;;;;
Lille;Données temps réel;22/04/2017;02:30;780;;;;
Lille;Données temps réel;22/04/2017;02:45;759;;;;
Lille;Données temps réel;22/04/2017;03:00;754;;;;
Lille;Données temps réel;22/04/2017;03:15;746;;;;
Lille;Données temps réel;22/04/2017;03:30;731;;;;
Lille;Données temps réel;22/04/2017;03:45;732;;;;
Lille;Données temps réel;22/04/2017;04:00;727;;;;
Lille;Données temps réel;22/04/2017;04:15;728;;;;
Lille;Données temps réel;22/04/2017;04:30;730;;;;
Lille;Données temps réel;22/04/2017;04:45;716;;;;
Lille;Données temps réel;22/04/2017;05:00;728;;;;
Lille;Données temps réel;22/04/2017;05:15;740;;;;
Lille;Données temps réel;22/04/2017;05:30;744;;;;
Lille;Données temps réel;22/04/2017;05:45;747;;;;
Lille;Données temps réel;22/04/2017;06:00;745;;;;
Lille;Données temps réel;22/04/2017;06:15;739;;;;
Lille;Données temps réel;22/04/2017;06:30;740;;;;
Lille;Données temps réel;22/04/2017;06:45;737;;;;
Lille;Données temps réel;22/04/2017;07:00;760;;;;
Lille;Données temps réel;22/04/2017;07:15;762;;;;
Lille;Données temps réel;22/04/2017;07:30;763;;;;
Lille;Données temps réel;22/04/2017;07:45;771;;;;
Lille;Données temps réel;22/04/2017;08:00;785;;;;
Lille;Données temps réel;22/04/2017;08:15;806;;;;
Lille;Données temps réel;22/04/2017;08:30;806;;;;
Lille;Données temps réel;22/04/2017;08:45;837;;;;
Lille;Données temps réel;22/04/2017;09:00;842;;;;
Lille;Données temps réel;22/04/2017;09:15;883;;;;
Lille;Données temps réel;22/04/2017;09:30;875;;;;
Lille;Données temps réel;22/04/2017;09:45;894;;;;
Lille;Données temps réel;22/04/2017;10:00;901;;;;
Lille;Données temps réel;22/04/2017;10:15;914;;;;
Lille;Données temps réel;22/04/2017;10:30;910;;;;
Lille;Données temps réel;22/04/2017;10:45;928;;;;
Lille;Données temps réel;22/04/2017;11:00;920;;;;
Lille;Données temps réel;22/04/2017;11:15;928;;;;
Lille;Données temps réel;22/04/2017;11:30;906;;;;
Lille;Données temps réel;22/04/2017;11:45;938;;;;
Lille;Données temps réel;22/04/2017;12:00;916;;;;
Lille;Données temps réel;22/04/2017;12:15;940;;;;
Lille;Données temps réel;22/04/2017;12:30;944;;;;
Lille;Données temps réel;22/04/2017;12:45;977;;;;
