Périmètre;Nature;Date;Heures;Consommation
Grand Lyon;Données temps réel;04/01/2021;07:45;1475
Grand Lyon;Données temps réel;04/01/2021;08:00;1527
Grand Lyon;Données temps réel;04/01/2021;08:15;1528
Grand Lyon;Données temps réel;04/01/2021;08:30;1538
Grand Lyon;Données temps réel;04/01/2021;08:45;1532
Grand Lyon;Données temps réel;04/01/2021;09:00;1560
Grand Lyon;Données temps réel;04/01/2021;09:15;1567
Grand Lyon;Données temps réel;04/01/2021;09:30;1581
Grand Lyon;Données temps réel;04/01/2021;09:45;1601
Grand Lyon;Données temps réel;04/01/2021;10:00;1598
Grand Lyon;Données temps réel;04/01/2021;10:15;1608
Grand Lyon;Données temps réel;04/01/2021;10:30;1608
Grand Lyon;Données temps réel;04/01/2021;10:45;1636
Grand Lyon;Données temps réel;04/01/2021;11:00;1625
Grand Lyon;Données temps réel;04/01/2021;11:15;1611
Grand Lyon;Données temps réel;04/01/2021;11:30;1600
Grand Lyon;Données temps réel;04/01/2021;11:45;1609
Grand Lyon;Données temps réel;04/01/2021;12:00;1665
Grand Lyon;Données temps réel;04/01/2021;12:15;1646
Grand Lyon;Données temps réel;04/01/2021;12:30;1659
Grand Lyon;Données temps réel;04/01/2021;12:45;1659
Grand Lyon;Données temps réel;04/01/2021;13:00;1668
Grand Lyon;Données temps réel;04/01/2021;13:15;1631
Grand Lyon;Données temps réel;04/01/2021;13:30;1621
Grand Lyon;Données temps réel;04/01/2021;13:45;1612
Grand Lyon;Données temps réel;04/01/2021;14:00;1585
Grand Lyon;Données temps réel;04/01/2021;14:15;1590
Grand Lyon;Données temps réel;04/01/2021;14:30;1561
Grand Lyon;Données temps réel;04/01/2021;14:45;1556
Grand Lyon;Données temps réel;04/01/2021;15:00;1555
Grand Lyon;Données temps réel;04/01/2021;15:15;1560
Grand Lyon;Données temps réel;04/01/2021;15:30;1558
Grand Lyon;Données temps réel;04/01/2021;15:45;1564
Grand Lyon;Données temps réel;04/01/2021;16:00;1572
Grand Lyon;Données temps réel;04/01/2021;16:15;1571
Grand Lyon;Données temps réel;04/01/2021;16:30;1568
