Périmètre;Nature;Date;Heures;Consommation;;;;
Aix Marseille;Données temps réel;20/04/2017;22:30;1435;;;;
Aix Marseille;Données temps réel;20/04/2017;22:45;1448;;;;
Aix Marseille;Données temps réel;20/04/2017;23:00;1527;;;;
Aix Marseille;Données temps réel;20/04/2017;23:15;1655;;;;
Aix Marseille;Données temps réel;20/04/2017;23:30;1576;;;;
Aix Marseille;Données temps réel;20/04/2017;23:45;ND;;;;
Aix Marseille;Données temps réel;21/04/2017;00:00;1542;;;;
Aix Marseille;Données temps réel;21/04/2017;00:15;1479;;;;
Aix Marseille;Données temps réel;21/04/2017;00:30;1431;;;;
Aix Marseille;Données temps réel;21/04/2017;00:45;1376;;;;
Aix Marseille;Données temps réel;21/04/2017;01:00;1390;;;;
Aix Marseille;Données temps réel;21/04/2017;01:15;1354;;;;
Aix Marseille;Données temps réel;21/04/2017;01:30;1315;;;;
Aix Marseille;Données temps réel;21/04/2017;01:45;1270;;;;
Aix Marseille;Données temps réel;21/04/2017;02:00;1338;;;;
Aix Marseille;Données temps réel;21/04/2017;02:15;1435;;;;
Aix Marseille;Données temps réel;21/04/2017;02:30;1340;;;;
Aix Marseille;Données temps réel;21/04/2017;02:45;1329;;;;
Aix Marseille;Données temps réel;21/04/2017;03:00;1301;;;;
Aix Marseille;Données temps réel;21/04/2017;03:15;1325;;;;
Aix Marseille;Données temps réel;21/04/2017;03:30;1344;;;;
Aix Marseille;Données temps réel;21/04/2017;03:45;1309;;;;
Aix Marseille;Données temps réel;21/04/2017;04:00;1327;;;;
Aix Marseille;Données temps réel;21/04/2017;04:15;1259;;;;
Aix Marseille;Données temps réel;21/04/2017;04:30;1342;;;;
Aix Marseille;Données temps réel;21/04/2017;04:45;1297;;;;
Aix Marseille;Données temps réel;21/04/2017;05:00;1294;;;;
Aix Marseille;Données temps réel;21/04/2017;05:15;1251;;;;
Aix Marseille;Données temps réel;21/04/2017;05:30;1297;;;;
Aix Marseille;Données temps réel;21/04/2017;05:45;1313;;;;
Aix Marseille;Données temps réel;21/04/2017;06:00;1342;;;;
Aix Marseille;Données temps réel;21/04/2017;06:15;1387;;;;
Aix Marseille;Données temps réel;21/04/2017;06:30;1450;;;;
Aix Marseille;Données temps réel;21/04/2017;06:45;1420;;;;
Aix Marseille;Données temps réel;21/04/2017;07:00;1403;;;;
Aix Marseille;Données temps réel;21/04/2017;07:15;1438;;;;
Aix Marseille;Données temps réel;21/04/2017;07:30;1498;;;;
Aix Marseille;Données temps réel;21/04/2017;07:45;1585;;;;
Aix Marseille;Données temps réel;21/04/2017;08:00;1630;;;;
Aix Marseille;Données temps réel;21/04/2017;08:15;1593;;;;
Aix Marseille;Données temps réel;21/04/2017;08:30;1640;;;;
Aix Marseille;Données temps réel;21/04/2017;08:45;1668;;;;
Aix Marseille;Données temps réel;21/04/2017;09:00;1694;;;;
Aix Marseille;Données temps réel;21/04/2017;09:15;1656;;;;
Aix Marseille;Données temps réel;21/04/2017;09:30;1664;;;;
Aix Marseille;Données temps réel;21/04/2017;09:45;1686;;;;
Aix Marseille;Données temps réel;21/04/2017;10:00;1626;;;;
Aix Marseille;Données temps réel;21/04/2017;10:15;1690;;;;
Aix Marseille;Données temps réel;21/04/2017;10:30;1677;;;;
Aix Marseille;Données temps réel;21/04/2017;10:45;1607;;;;
Aix Marseille;Données temps réel;21/04/2017;11:00;1682;;;;
Aix Marseille;Données temps réel;21/04/2017;11:15;1622;;;;
Aix Marseille;Données temps réel;21/04/2017;11:30;1636;;;;
Aix Marseille;Données temps réel;21/04/2017;11:45;1657;;;;
Aix Marseille;Données temps réel;21/04/2017;12:00;1615;;;;
Aix Marseille;Données temps réel;21/04/2017;12:15;1613;;;;
Aix Marseille;Données temps réel;21/04/2017;12:30;1615;;;;
Aix Marseille;Données temps réel;21/04/2017;12:45;1649;;;;
Aix Marseille;Données temps réel;21/04/2017;13:00;1661;;;;
Aix Marseille;Données temps réel;21/04/2017;13:15;1721;;;;
Aix Marseille;Données temps réel;21/04/2017;13:30;1636;;;;
Aix Marseille;Données temps réel;21/04/2017;13:45;1696;;;;
Aix Marseille;Données temps réel;21/04/2017;14:00;1607;;;;
Aix Marseille;Données temps réel;21/04/2017;14:15;1653;;;;
Aix Marseille;Données temps réel;21/04/2017;14:30;1703;;;;
Aix Marseille;Données temps réel;21/04/2017;14:45;1605;;;;
Aix Marseille;Données temps réel;21/04/2017;15:00;1644;;;;
Aix Marseille;Données temps réel;21/04/2017;15:15;1645;;;;
Aix Marseille;Données temps réel;21/04/2017;15:30;1616;;;;
Aix Marseille;Données temps réel;21/04/2017;15:45;1535;;;;
Aix Marseille;Données temps réel;21/04/2017;16:00;1497;;;;
Aix Marseille;Données temps réel;21/04/2017;16:15;1455;;;;
Aix Marseille;Données temps réel;21/04/2017;16:30;1446;;;;
Aix Marseille;Données temps réel;21/04/2017;16:45;1565;;;;
Aix Marseille;Données temps réel;21/04/2017;17:00;1478;;;;
Aix Marseille;Données temps réel;21/04/2017;17:15;1424;;;;
Aix Marseille;Données temps réel;21/04/2017;17:30;1459;;;;
Aix Marseille;Données temps réel;21/04/2017;17:45;1465;;;;
Aix Marseille;Données temps réel;21/04/2017;18:00;1515;;;;
Aix Marseille;Données temps réel;21/04/2017;18:15;1480;;;;
Aix Marseille;Données temps réel;21/04/2017;18:30;1484;;;;
Aix Marseille;Données temps réel;21/04/2017;18:45;1469;;;;
Aix Marseille;Données temps réel;21/04/2017;19:00;1465;;;;
Aix Marseille;Données temps réel;21/04/2017;19:15;1543;;;;
Aix Marseille;Données temps réel;21/04/2017;19:30;1522;;;;
Aix Marseille;Données temps réel;21/04/2017;19:45;1492;;;;
Aix Marseille;Données temps réel;21/04/2017;20:00;1534;;;;
Aix Marseille;Données temps réel;21/04/2017;20:15;1494;;;;
Aix Marseille;Données temps réel;21/04/2017;20:30;1543;;;;
Aix Marseille;Données temps réel;21/04/2017;20:45;1524;;;;
Aix Marseille;Données temps réel;21/04/2017;21:00;1557;;;;
Aix Marseille;Données temps réel;21/04/2017;21:15;1486;;;;
Aix Marseille;Données temps réel;21/04/2017;21:30;1538;;;;
Aix Marseille;Données temps réel;21/04/2017;21:45;1567;;;;
Aix Marseille;Données temps réel;21/04/2017;22:00;1472;;;;
Aix Marseille;Données temps réel;21/04/2017;22:15;1500;;;;
Aix Marseille;Données temps réel;21/04/2017;22:30;1453;;;;
Aix Marseille;Données temps réel;21/04/2017;22:45;1486;;;;
Aix Marseille;Données temps réel;21/04/2017;23:00;1567;;;;
Aix Marseille;Données temps réel;21/04/2017;23:15;ND;;;;
Aix Marseille;Données temps réel;21/04/2017;23:30;ND;;;;
Aix Marseille;Données temps réel;21/04/2017;23:45;ND;;;;
Aix Marseille;Données temps réel;22/04/2017;00:00;1624;;;;
Aix Marseille;Données temps réel;22/04/2017;00:15;1536;;;;
Aix Marseille;Données temps réel;22/04/2017;00:30;1488;;;;
Aix Marseille;Données temps réel;22/04/2017;00:45;1466;;;;
Aix Marseille;Données temps réel;22/04/2017;01:00;1434;;;;
Aix Marseille;Données temps réel;22/04/2017;01:15;1400;;;;
Aix Marseille;Données temps réel;22/04/2017;01:30;1312;;;;
Aix Marseille;Données temps réel;22/04/2017;01:45;1341;;;;
Aix Marseille;Données temps réel;22/04/2017;02:00;1336;;;;
Aix Marseille;Données temps réel;22/04/2017;02:15;1380;;;;
Aix Marseille;Données temps réel;22/04/2017;02:30;1415;;;;
Aix Marseille;Données temps réel;22/04/2017;02:45;1321;;;;
Aix Marseille;Données temps réel;22/04/2017;03:00;1340;;;;
Aix Marseille;Données temps réel;22/04/2017;03:15;1245;;;;
Aix Marseille;Données temps réel;22/04/2017;03:30;1238;;;;
Aix Marseille;Données temps réel;22/04/2017;03:45;1216;;;;
Aix Marseille;Données temps réel;22/04/2017;04:00;1270;;;;
Aix Marseille;Données temps réel;22/04/2017;04:15;1219;;;;
Aix Marseille;Données temps réel;22/04/2017;04:30;1248;;;;
Aix Marseille;Données temps réel;22/04/2017;04:45;1205;;;;
Aix Marseille;Données temps réel;22/04/2017;05:00;1216;;;;
Aix Marseille;Données temps réel;22/04/2017;05:15;1241;;;;
Aix Marseille;Données temps réel;22/04/2017;05:30;1207;;;;
Aix Marseille;Données temps réel;22/04/2017;05:45;1265;;;;
Aix Marseille;Données temps réel;22/04/2017;06:00;1250;;;;
Aix Marseille;Données temps réel;22/04/2017;06:15;1310;;;;
Aix Marseille;Données temps réel;22/04/2017;06:30;1272;;;;
Aix Marseille;Données temps réel;22/04/2017;06:45;1271;;;;
Aix Marseille;Données temps réel;22/04/2017;07:00;1259;;;;
Aix Marseille;Données temps réel;22/04/2017;07:15;1266;;;;
Aix Marseille;Données temps réel;22/04/2017;07:30;1267;;;;
Aix Marseille;Données temps réel;22/04/2017;07:45;1313;;;;
Aix Marseille;Données temps réel;22/04/2017;08:00;1317;;;;
Aix Marseille;Données temps réel;22/04/2017;08:15;1354;;;;
Aix Marseille;Données temps réel;22/04/2017;08:30;1332;;;;
Aix Marseille;Données temps réel;22/04/2017;08:45;1416;;;;
Aix Marseille;Données temps réel;22/04/2017;09:00;1352;;;;
Aix Marseille;Données temps réel;22/04/2017;09:15;1390;;;;
Aix Marseille;Données temps réel;22/04/2017;09:30;1353;;;;
Aix Marseille;Données temps réel;22/04/2017;09:45;1399;;;;
Aix Marseille;Données temps réel;22/04/2017;10:00;1390;;;;
Aix Marseille;Données temps réel;22/04/2017;10:15;1392;;;;
Aix Marseille;Données temps réel;22/04/2017;10:30;1382;;;;
Aix Marseille;Données temps réel;22/04/2017;10:45;1393;;;;
Aix Marseille;Données temps réel;22/04/2017;11:00;1407;;;;
Aix Marseille;Données temps réel;22/04/2017;11:15;1468;;;;
Aix Marseille;Données temps réel;22/04/2017;11:30;1453;;;;
Aix Marseille;Données temps réel;22/04/2017;11:45;1428;;;;
Aix Marseille;Données temps réel;22/04/2017;12:00;1468;;;;
Aix Marseille;Données temps réel;22/04/2017;12:15;1472;;;;
Aix Marseille;Données temps réel;22/04/2017;12:30;1439;;;;
Aix Marseille;Données temps réel;22/04/2017;12:45;1391;;;;
Aix Marseille;Données temps réel;22/04/2017;13:00;1451;;;;
Aix Marseille;Données temps réel;22/04/2017;13:15;1451;;;;
Aix Marseille;Données temps réel;22/04/2017;13:30;1479;;;;
Aix Marseille;Données temps réel;22/04/2017;13:45;1418;;;;
Aix Marseille;Données temps réel;22/04/2017;14:00;1411;;;;
Aix Marseille;Données temps réel;22/04/2017;14:15;1402;;;;
Aix Marseille;Données temps réel;22/04/2017;14:30;1422;;;;
Aix Marseille;Données temps réel;22/04/2017;14:45;1364;;;;
Aix Marseille;Données temps réel;22/04/2017;15:00;1364;;;;
Aix Marseille;Données temps réel;22/04/2017;15:15;1348;;;;
Aix Marseille;Données temps réel;22/04/2017;15:30;1386;;;;
Aix Marseille;Données temps réel;22/04/2017;15:45;1336;;;;
Aix Marseille;Données temps réel;22/04/2017;16:00;1294;;;;
Aix Marseille;Données temps réel;22/04/2017;16:15;1258;;;;
Aix Marseille;Données temps réel;22/04/2017;16:30;1281;;;;
Aix Marseille;Données temps réel;22/04/2017;16:45;1232;;;;
Aix Marseille;Données temps réel;22/04/2017;17:00;1260;;;;
Aix Marseille;Données temps réel;22/04/2017;17:15;1215;;;;
Aix Marseille;Données temps réel;22/04/2017;17:30;1260;;;;
Aix Marseille;Données temps réel;22/04/2017;17:45;1305;;;;
Aix Marseille;Données temps réel;22/04/2017;18:00;1272;;;;
Aix Marseille;Données temps réel;22/04/2017;18:15;1229;;;;
Aix Marseille;Données temps réel;22/04/2017;18:30;1235;;;;
Aix Marseille;Données temps réel;22/04/2017;18:45;1234;;;;
Aix Marseille;Données temps réel;22/04/2017;19:00;1265;;;;
Aix Marseille;Données temps réel;22/04/2017;19:15;1260;;;;
Aix Marseille;Données temps réel;22/04/2017;19:30;1296;;;;
Aix Marseille;Données temps réel;22/04/2017;19:45;1278;;;;
Aix Marseille;Données temps réel;22/04/2017;20:00;1278;;;;
Aix Marseille;Données temps réel;22/04/2017;20:15;1291;;;;
Aix Marseille;Données temps réel;22/04/2017;20:30;1311;;;;
Aix Marseille;Données temps réel;22/04/2017;20:45;1345;;;;
Aix Marseille;Données temps réel;22/04/2017;21:00;1387;;;;
Aix Marseille;Données temps réel;22/04/2017;21:15;1378;;;;
Aix Marseille;Données temps réel;22/04/2017;21:30;1348;;;;
Aix Marseille;Données temps réel;22/04/2017;21:45;1346;;;;
Aix Marseille;Données temps réel;22/04/2017;22:00;1303;;;;
Aix Marseille;Données temps réel;22/04/2017;22:15;1333;;;;
Aix Marseille;Données temps réel;22/04/2017;22:30;1287;;;;
Aix Marseille;Données temps réel;22/04/2017;22:45;1291;;;;
Aix Marseille;Données temps réel;22/04/2017;23:00;1375;;;;
Aix Marseille;Données temps réel;22/04/2017;23:15;1467;;;;
Aix Marseille;Données temps réel;22/04/2017;23:30;1466;;;;
Aix Marseille;Données temps réel;22/04/2017;23:45;1480;;;;
Aix Marseille;Données temps réel;23/04/2017;00:00;1418;;;;
Aix Marseille;Données temps réel;23/04/2017;00:15;1390;;;;
Aix Marseille;Données temps réel;23/04/2017;00:30;1359;;;;
Aix Marseille;Données temps réel;23/04/2017;00:45;1297;;;;
Aix Marseille;Données temps réel;23/04/2017;01:00;1270;;;;
Aix Marseille;Données temps réel;23/04/2017;01:15;1198;;;;
Aix Marseille;Données temps réel;23/04/2017;01:30;1172;;;;
Aix Marseille;Données temps réel;23/04/2017;01:45;1145;;;;
Aix Marseille;Données temps réel;23/04/2017;02:00;1165;;;;
Aix Marseille;Données temps réel;23/04/2017;02:15;1269;;;;
Aix Marseille;Données temps réel;23/04/2017;02:30;1190;;;;
Aix Marseille;Données temps réel;23/04/2017;02:45;1155;;;;
Aix Marseille;Données temps réel;23/04/2017;03:00;1154;;;;
Aix Marseille;Données temps réel;23/04/2017;03:15;1129;;;;
Aix Marseille;Données temps réel;23/04/2017;03:30;1112;;;;
Aix Marseille;Données temps réel;23/04/2017;03:45;1106;;;;
Aix Marseille;Données temps réel;23/04/2017;04:00;1110;;;;
Aix Marseille;Données temps réel;23/04/2017;04:15;1100;;;;
Aix Marseille;Données temps réel;23/04/2017;04:30;1122;;;;
Aix Marseille;Données temps réel;23/04/2017;04:45;1102;;;;
Aix Marseille;Données temps réel;23/04/2017;05:00;1105;;;;
Aix Marseille;Données temps réel;23/04/2017;05:15;1086;;;;
Aix Marseille;Données temps réel;23/04/2017;05:30;1136;;;;
Aix Marseille;Données temps réel;23/04/2017;05:45;1135;;;;
Aix Marseille;Données temps réel;23/04/2017;06:00;1089;;;;
Aix Marseille;Données temps réel;23/04/2017;06:15;1157;;;;
Aix Marseille;Données temps réel;23/04/2017;06:30;1110;;;;
Aix Marseille;Données temps réel;23/04/2017;06:45;1084;;;;
Aix Marseille;Données temps réel;23/04/2017;07:00;1102;;;;
Aix Marseille;Données temps réel;23/04/2017;07:15;1101;;;;
Aix Marseille;Données temps réel;23/04/2017;07:30;1086;;;;
Aix Marseille;Données temps réel;23/04/2017;07:45;1130;;;;
Aix Marseille;Données temps réel;23/04/2017;08:00;1106;;;;
Aix Marseille;Données temps réel;23/04/2017;08:15;1166;;;;
Aix Marseille;Données temps réel;23/04/2017;08:30;1144;;;;
Aix Marseille;Données temps réel;23/04/2017;08:45;1221;;;;
Aix Marseille;Données temps réel;23/04/2017;09:00;1224;;;;
