identifiant;average_measurement;month
69029001;10,5;1997-03
69029001;6,8;1997-02
69029001;1,2;1997-01
69029001;3,8;1996-12
69029001;7,1;1996-11
69029001;12,3;1996-10
69029001;14,3;1996-09
69029001;19,6;1996-08
69029001;20,1;1996-07
69029001;19,8;1996-06
69029001;14,5;1996-05
69029001;11,4;1996-04
69029001;6,5;1996-03
69029001;3,1;1996-02
69029001;5,3;1996-01
69029001;3,6;1995-12
69029001;7,1;1995-11
69029001;15,5;1995-10
69029001;14,8;1995-09
69029001;21,2;1995-08
69029001;23,8;1995-07
69029001;17,8;1995-06
69029001;15,0;1995-05
69029001;11,0;1995-04
69029001;6,8;1995-03
69029001;7,7;1995-02
69029001;4,1;1995-01
69029001;6,0;1994-12
69029001;9,9;1994-11
69029001;12,8;1994-10
69029001;16,0;1994-09
69029001;22,6;1994-08
69029001;24,0;1994-07
69029001;19,2;1994-06
69029001;15,7;1994-05
69029001;9,4;1994-04
69029001;10,8;1994-03
69029001;6,1;1994-02
69029001;3,9;1994-01
69029001;6,1;1993-12
69029001;4,1;1993-11
69029001;10,7;1993-10
69029001;15,4;1993-09
69029001;20,8;1993-08
69029001;19,8;1993-07
69029001;19,4;1993-06
69029001;15,6;1993-05
69029001;11,7;1993-04
69029001;7,3;1993-03
69029001;1,4;1993-02
69029001;4,7;1993-01
69029001;5,5;1992-12
69029001;8,6;1992-11
69029001;9,9;1992-10
69029001;16,5;1992-09
69029001;22,5;1992-08
69029001;21,2;1992-07
69029001;17,2;1992-06
69029001;16,7;1992-05
69029001;11,2;1992-04
69029001;8,1;1992-03
69029001;4,2;1992-02
69029001;0,8;1992-01
69029001;1,8;1991-12
69029001;7,0;1991-11
69029001;11,2;1991-10
69029001;19,4;1991-09
69029001;23,6;1991-08
69029001;22,9;1991-07
69029001;17,9;1991-06
69029001;13,2;1991-05
69029001;9,8;1991-04
69029001;10,2;1991-03
69029001;2,3;1991-02
69029001;3,4;1991-01
69029001;1,4;1990-12
69029001;7,1;1990-11
69029001;14,1;1990-10
69029001;16,5;1990-09
69029001;21,9;1990-08
69029001;21,9;1990-07
69029001;17,9;1990-06
69029001;17,2;1990-05
69029001;9,3;1990-04
69029001;8,7;1990-03
69029001;9,4;1990-02
69029001;2,0;1990-01
69029001;4,7;1989-12
69029001;5,7;1989-11
69029001;13,5;1989-10
69029001;17,2;1989-09
69029001;21,8;1989-08
69029001;22,7;1989-07
69029001;18,8;1989-06
69029001;17,1;1989-05
69029001;9,7;1989-04
69029001;10,1;1989-03
69029001;4,8;1989-02
69029001;3,6;1989-01
69029001;5,0;1988-12
69029001;5,1;1988-11
69029001;13,6;1988-10
69029001;16,7;1988-09
69029001;21,2;1988-08
69029001;20,7;1988-07
69029001;18,2;1988-06
69029001;15,7;1988-05
69029001;11,8;1988-04
69029001;7,0;1988-03
69029001;4,6;1988-02
69029001;6,9;1988-01
69029001;4,1;1987-12
69029001;7,1;1987-11
69029001;13,7;1987-10
69029001;19,3;1987-09
69029001;20,3;1987-08
69029001;20,9;1987-07
69029001;16,5;1987-06
69029001;12,1;1987-05
69029001;11,6;1987-04
69029001;5,3;1987-03
69029001;3,7;1987-02
69029001;-2,2;1987-01
69029001;3,5;1986-12
69029001;7,8;1986-11
69029001;13,3;1986-10
69029001;16,8;1986-09
69029001;20,0;1986-08
69029001;20,7;1986-07
69029001;18,4;1986-06
69029001;15,4;1986-05
69029001;7,5;1986-04
69029001;5,9;1986-03
69029001;-0,9;1986-02
69029001;3,0;1986-01
69029001;5,3;1985-12
69029001;3,8;1985-11
69029001;12,3;1985-10
69029001;18,5;1985-09
69029001;19,8;1985-08
69029001;21,9;1985-07
69029001;17,3;1985-06
69029001;13,6;1985-05
69029001;11,4;1985-04
69029001;5,8;1985-03
69029001;3,9;1985-02
69029001;-2,5;1985-01
69029001;4,1;1984-12
69029001;9,9;1984-11
69029001;12,4;1984-10
69029001;15,8;1984-09
69029001;20,1;1984-08
69029001;21,7;1984-07
69029001;17,7;1984-06
69029001;12,0;1984-05
69029001;10,3;1984-04
69029001;5,9;1984-03
69029001;3,3;1984-02
69029001;4,2;1984-01
69029001;3,8;1983-12
69029001;6,5;1983-11
69029001;12,0;1983-10
69029001;17,9;1983-09
69029001;22,0;1983-08
69029001;26,3;1983-07
69029001;19,9;1983-06
69029001;13,1;1983-05
69029001;10,5;1983-04
69029001;7,5;1983-03
69029001;2,2;1983-02
69029001;3,7;1983-01
69029001;5,0;1982-12
69029001;8,6;1982-11
69029001;11,8;1982-10
69029001;18,5;1982-09
69029001;19,4;1982-08
69029001;22,7;1982-07
69029001;19,8;1982-06
69029001;15,0;1982-05
69029001;10,4;1982-04
69029001;6,8;1982-03
69029001;5,3;1982-02
69029001;5,1;1982-01
69029001;4,9;1981-12
69029001;5,7;1981-11
69029001;12,5;1981-10
69029001;17,2;1981-09
69029001;19,8;1981-08
69029001;19,0;1981-07
69029001;17,7;1981-06
69029001;14,2;1981-05
69029001;11,6;1981-04
69029001;10,2;1981-03
69029001;1,2;1981-02
69029001;0,9;1981-01
69029001;0,8;1980-12
69029001;5,3;1980-11
69029001;10,8;1980-10
69029001;17,2;1980-09
69029001;20,5;1980-08
69029001;18,5;1980-07
69029001;16,7;1980-06
69029001;13,1;1980-05
69029001;8,9;1980-04
69029001;6,6;1980-03
69029001;6,9;1980-02
69029001;2,3;1980-01
69029001;4,6;1979-12
69029001;5,8;1979-11
69029001;13,3;1979-10
69029001;16,3;1979-09
69029001;18,2;1979-08
69029001;20,9;1979-07
69029001;18,7;1979-06
69029001;14,6;1979-05
69029001;9,2;1979-04
69029001;8,3;1979-03
69029001;5,1;1979-02
69029001;0,2;1979-01
69029001;6,1;1978-12
69029001;4,6;1978-11
69029001;10,8;1978-10
69029001;15,7;1978-09
69029001;18,5;1978-08
69029001;20,1;1978-07
69029001;17,4;1978-06
69029001;13,3;1978-05
69029001;8,5;1978-04
69029001;7,4;1978-03
69029001;4,3;1978-02
69029001;2,4;1978-01
