Périmètre;Nature;Date;Heures;Consommation;Production;Echanges physiques;;;;
Grand Lyon;Données temps réel;22/04/2017;23:45;1003;;;;;;
Grand Lyon;Données temps réel;23/04/2017;00:00;973;;;;;;
Grand Lyon;Données temps réel;23/04/2017;00:15;947;;;;;;
Grand Lyon;Données temps réel;23/04/2017;00:30;920;;;;;;
Grand Lyon;Données temps réel;23/04/2017;00:45;889;;;;;;
Grand Lyon;Données temps réel;23/04/2017;01:00;855;;;;;;
Grand Lyon;Données temps réel;23/04/2017;01:15;834;;;;;;
Grand Lyon;Données temps réel;23/04/2017;01:30;828;;;;;;
Grand Lyon;Données temps réel;23/04/2017;01:45;813;;;;;;
Grand Lyon;Données temps réel;23/04/2017;02:00;795;;;;;;
Grand Lyon;Données temps réel;23/04/2017;02:15;782;;;;;;
Grand Lyon;Données temps réel;23/04/2017;02:30;777;;;;;;
Grand Lyon;Données temps réel;23/04/2017;02:45;777;;;;;;
Grand Lyon;Données temps réel;23/04/2017;03:00;762;;;;;;
Grand Lyon;Données temps réel;23/04/2017;03:15;755;;;;;;
Grand Lyon;Données temps réel;23/04/2017;03:30;748;;;;;;
Grand Lyon;Données temps réel;23/04/2017;03:45;739;;;;;;
