"année";"nom territoire";"code insee";"nom commune";"nom réseau";"indicateur";"unités";"valeur"
"2023";"Rhône";"69269";"Yzeron";"LE BOURG";"production biogaz";"MWh";0
"2023";"Rhône";"69269";"Yzeron";"LES COMBES";"production biogaz";"MWh";0
"2023";"Rhône";"69269";"Yzeron";"LE BOURG";"production biomasse solide";"MWh";536
"2023";"Rhône";"69269";"Yzeron";"LES COMBES";"production biomasse solide";"MWh";661
"2023";"Rhône";"69269";"Yzeron";"LE BOURG";"production chaleur fatale";"MWh";0
"2023";"Rhône";"69269";"Yzeron";"LES COMBES";"production chaleur fatale";"MWh";0
"2023";"Rhône";"69269";"Yzeron";"LE BOURG";"production charbon";"MWh";0
"2023";"Rhône";"69269";"Yzeron";"LES COMBES";"production charbon";"MWh";0
"2023";"Rhône";"69269";"Yzeron";"LE BOURG";"production chaudiere électrique";"MWh";0
"2023";"Rhône";"69269";"Yzeron";"LES COMBES";"production chaudiere électrique";"MWh";0
"2023";"Rhône";"69269";"Yzeron";"LE BOURG";"production enr hors bois";"MWh";0
"2023";"Rhône";"69269";"Yzeron";"LES COMBES";"production enr hors bois";"MWh";0
"2023";"Rhône";"69269";"Yzeron";"LE BOURG";"production gaz naturel";"MWh";0
"2023";"Rhône";"69269";"Yzeron";"LES COMBES";"production gaz naturel";"MWh";0
"2023";"Rhône";"69269";"Yzeron";"LE BOURG";"production produits pétroliers ";"MWh";73,87
"2023";"Rhône";"69269";"Yzeron";"LES COMBES";"production produits pétroliers ";"MWh";111,25
"2023";"Rhône";"69269";"Yzeron";"LE BOURG";"production totale";"MWh";609,87
"2023";"Rhône";"69269";"Yzeron";"LES COMBES";"production totale";"MWh";772,25
"2023";"Rhône";"69299";"Colombier-Saugnieu";"Colombier Saugnieu";"niveau de rejet en CO2 des réseaux";"MWh";0,11
"2023";"Rhône";"69299";"Colombier-Saugnieu";"Colombier Saugnieu";"densité";"MWh";2432,29
"2023";"Rhône";"69299";"Colombier-Saugnieu";"Colombier Saugnieu";"longueur réseau";"MWh";0,25
