Date;Code INSEE département;Département;TMin (°C);TMax (°C);TMoy (°C)
2020-11-24;69;Rhône;-0.9;8.35;3.72
2022-02-07;69;Rhône;4.7;9.1;6.9
2021-07-21;69;Rhône;15.4;29.05;22.22
2021-07-22;69;Rhône;15.6;29.7;22.65
2022-02-05;69;Rhône;3.7;9.1;6.4
2021-01-13;69;Rhône;1.85;7.0;4.42
2021-01-14;69;Rhône;5.3;8.3;6.8
2022-02-10;69;Rhône;2.25;16.25;9.25
2020-11-28;69;Rhône;0.65;10.25;5.45
2022-02-08;69;Rhône;-2.05;10.75;4.35
2022-02-09;69;Rhône;-2.3;14.5;6.1
2020-12-01;69;Rhône;-0.85;5.7;2.43
2022-02-14;69;Rhône;6.55;10.15;8.35
2021-01-20;69;Rhône;5.2;13.5;9.35
2020-12-03;69;Rhône;2.95;8.9;5.92
2020-12-05;69;Rhône;0.3;4.85;2.58
2022-02-20;69;Rhône;2.05;13.3;7.68
2022-02-18;69;Rhône;6.0;19.55;12.78
2021-10-05;69;Rhône;8.35;16.4;12.38
2020-12-10;69;Rhône;-2.75;4.4;0.83
2021-10-07;69;Rhône;6.8;16.9;11.85
2019-10-23;69;Rhône;12.9;15.8;14.35
2021-10-09;69;Rhône;9.7;14.45;12.08
2022-02-27;69;Rhône;-2.25;12.65;5.2
2022-02-26;69;Rhône;0.25;11.0;5.62
2021-02-03;69;Rhône;10.95;15.8;13.38
2021-10-13;69;Rhône;8.5;14.35;11.42
2021-10-14;69;Rhône;3.4;15.1;9.25
2021-02-06;69;Rhône;8.8;15.2;12.0
2022-03-04;69;Rhône;1.85;14.25;8.05
2021-02-08;69;Rhône;3.2;9.6;6.4
2019-10-31;69;Rhône;12.6;14.7;13.65
2022-03-02;69;Rhône;5.05;12.2;8.62
2021-10-19;69;Rhône;8.35;21.0;14.68
2021-10-22;69;Rhône;8.95;14.4;11.68
2022-03-07;69;Rhône;-2.9;10.8;3.95
2019-11-09;69;Rhône;4.7;10.95;7.82
2021-10-28;69;Rhône;4.35;19.55;11.95
2021-02-23;69;Rhône;9.0;19.9;14.45
2019-11-16;69;Rhône;-0.3;7.95;3.82
2021-10-31;69;Rhône;12.7;21.25;16.98
2019-11-17;69;Rhône;-1.05;5.35;2.15
2021-08-02;69;Rhône;12.45;24.25;18.35
2021-02-27;69;Rhône;6.2;10.5;8.35
2022-03-21;69;Rhône;7.8;16.65;12.22
2021-02-28;69;Rhône;0.35;13.4;6.88
2021-08-05;69;Rhône;16.1;24.95;20.52
2019-11-22;69;Rhône;6.35;15.2;10.78
2021-08-07;69;Rhône;15.35;19.6;17.48
2022-03-29;69;Rhône;11.0;19.95;15.48
2021-03-03;69;Rhône;5.95;13.65;9.8
2021-03-04;69;Rhône;4.2;16.65;10.42
2022-03-30;69;Rhône;9.35;16.45;12.9
2021-03-06;69;Rhône;3.35;10.7;7.02
2021-08-09;69;Rhône;13.5;25.65;19.58
2019-04-01;69;Rhône;5.9;21.85;13.88
2021-08-11;69;Rhône;17.25;30.85;24.05
2019-11-27;69;Rhône;10.0;14.65;12.32
2021-03-10;69;Rhône;0.3;13.6;6.95
2019-04-05;69;Rhône;-0.35;15.15;7.4
2019-12-03;69;Rhône;0.65;4.05;2.35
2022-04-08;69;Rhône;11.65;18.6;15.12
2021-08-18;69;Rhône;14.8;21.35;18.08
2019-04-10;69;Rhône;7.95;17.4;12.68
2019-12-06;69;Rhône;-2.85;9.3;3.23
2021-03-18;69;Rhône;2.25;7.8;5.03
2019-04-13;69;Rhône;3.1;12.4;7.75
2022-04-14;69;Rhône;9.05;22.0;15.52
2019-12-11;69;Rhône;0.05;5.3;2.68
2019-04-16;69;Rhône;10.3;14.45;12.38
2019-12-12;69;Rhône;2.0;8.05;5.03
2019-04-17;69;Rhône;6.2;21.8;14.0
2021-08-28;69;Rhône;11.85;22.2;17.02
2019-12-14;69;Rhône;4.5;11.8;8.15
2019-04-19;69;Rhône;9.95;24.95;17.45
2021-03-26;69;Rhône;3.45;18.1;10.77
2021-08-30;69;Rhône;12.65;21.6;17.12
2019-04-20;69;Rhône;10.45;24.45;17.45
2019-04-24;69;Rhône;12.75;18.45;15.6
2019-12-20;69;Rhône;10.55;15.35;12.95
2019-12-22;69;Rhône;8.15;12.85;10.5
2021-09-06;69;Rhône;15.15;29.75;22.45
2020-02-06;69;Rhône;-0.85;6.95;3.05
2019-12-25;69;Rhône;0.8;10.65;5.72
2021-09-11;69;Rhône;15.95;25.45;20.7
2019-12-27;69;Rhône;5.9;10.75;8.32
2021-09-21;69;Rhône;14.05;20.3;17.17
2019-12-28;69;Rhône;6.4;8.3;7.35
2022-05-03;69;Rhône;9.85;21.85;15.85
2020-01-03;69;Rhône;0.6;10.25;5.42
2021-09-19;69;Rhône;13.75;18.05;15.9
2021-04-20;69;Rhône;3.6;18.75;11.18
2022-05-13;69;Rhône;13.35;24.4;18.88
2021-09-28;69;Rhône;11.5;19.85;15.68
2020-01-09;69;Rhône;2.2;14.05;8.12
2020-09-06;69;Rhône;15.5;22.7;19.1
2020-01-10;69;Rhône;8.05;12.75;10.4
2021-12-02;69;Rhône;2.55;6.8;4.68
2020-05-20;69;Rhône;14.45;27.1;20.78
2021-12-04;69;Rhône;2.15;10.1;6.12
2020-09-10;69;Rhône;15.35;29.3;22.32
2020-09-11;69;Rhône;16.5;28.9;22.7
2020-05-22;69;Rhône;14.95;30.65;22.8
2021-04-29;69;Rhône;10.45;16.15;13.3
2020-01-17;69;Rhône;7.05;11.05;9.05
2021-05-03;69;Rhône;2.7;17.25;9.98
2021-12-11;69;Rhône;1.8;6.3;4.05
2021-05-04;69;Rhône;6.6;20.65;13.62
2020-09-19;69;Rhône;19.35;30.35;24.85
2021-12-13;69;Rhône;1.3;5.65;3.47
2020-09-21;69;Rhône;17.4;24.2;20.8
2021-12-15;69;Rhône;0.4;2.4;1.4
2020-09-22;69;Rhône;16.75;24.55;20.65
2020-01-28;69;Rhône;5.75;11.35;8.55
2021-05-11;69;Rhône;9.85;16.2;13.02
2021-12-18;69;Rhône;1.25;3.85;2.55
2020-06-05;69;Rhône;13.25;18.0;15.62
2020-06-06;69;Rhône;15.25;24.6;19.92
2021-12-19;69;Rhône;-0.6;1.05;0.22
2021-12-20;69;Rhône;-0.95;1.4;0.22
2020-01-31;69;Rhône;8.0;16.85;12.42
2021-05-17;69;Rhône;10.2;18.05;14.12
2021-05-20;69;Rhône;8.0;19.6;13.8
2021-12-25;69;Rhône;6.1;12.05;9.07
2021-12-26;69;Rhône;5.45;10.3;7.88
2021-12-30;69;Rhône;10.5;15.45;12.98
2021-05-26;69;Rhône;8.55;22.15;15.35
2020-10-10;69;Rhône;10.8;15.65;13.23
2020-10-12;69;Rhône;7.75;14.05;10.9
2021-05-30;69;Rhône;11.7;23.95;17.82
2020-06-23;69;Rhône;15.35;29.4;22.38
2020-06-24;69;Rhône;17.9;33.05;25.48
2020-06-25;69;Rhône;20.5;32.65;26.58
2020-10-18;69;Rhône;5.25;13.8;9.52
2021-11-09;69;Rhône;3.15;7.35;5.25
2021-11-12;69;Rhône;3.6;8.05;5.82
2020-07-02;69;Rhône;19.7;27.05;23.38
2020-06-09;69;Rhône;12.2;14.25;13.22
2021-11-14;69;Rhône;7.75;12.05;9.9
2020-07-04;69;Rhône;13.4;26.85;20.12
2021-06-11;69;Rhône;16.3;29.35;22.83
2021-06-12;69;Rhône;17.7;29.35;23.52
2020-07-07;69;Rhône;13.55;26.0;19.78
2020-06-13;69;Rhône;12.9;21.4;17.15
2020-10-27;69;Rhône;7.35;15.0;11.18
2021-11-20;69;Rhône;4.0;7.6;5.8
2021-11-21;69;Rhône;3.65;6.1;4.88
